code,name,brand,price,description,image,page,confidence
ET-E0621,ADAPTADOR BLUETOOTH,EWTTO,7.5,"• PRODUCTO:USB
BLUETOOTH
• MODELO:  EWTTO
• MATERIAL : PLASTICO ABS
• CARACTERISTICAS: ADMITE
LA CONEXIÓN DE
DISPOSITIVOS, ADAPTADOR
OTG
• INCLUYE: CABLE AUXILIAR
• COLOR: NEGRO",images/ET-E0621.jpg,13,1.0
AD-TA02,MEMORIA 4GB,ALDEEPO,10.0,"• CAPACIDAD: 4 GB.
• INCLUYE: ADAPTADOR SD
PARA COMPATIBILIDAD CON
DISPOSITIVOS DE TAMAÑO
ESTÁNDAR.
• USO: ALMACENAMIENTO
RÁPIDO Y SEGURO PARA
FOTOS, VIDEOS Y ARCHIVOS
EN DIVERSOS DISPOSITIVOS.",images/AD-TA02.jpg,14,1.0
AD-TA03,MEMORIA 8GB,ALDEEPO,14.0,"• CAPACIDAD: 8 GB.
• INCLUYE: ADAPTADOR SD
PARA COMPATIBILIDAD CON
DISPOSITIVOS DE TAMAÑO
ESTÁNDAR.
• USO: ALMACENAMIENTO
RÁPIDO Y SEGURO PARA
FOTOS, VIDEOS Y ARCHIVOS
EN DIVERSOS DISPOSITIVOS.",images/AD-TA03.jpg,15,1.0
AD-TA04,MEMORIA 16GB,ALDEEPO,16.0,"• CAPACIDAD: 16 GB.
• INCLUYE: ADAPTADOR SD
PARA COMPATIBILIDAD CON
DISPOSITIVOS DE TAMAÑO
ESTÁNDAR.
• USO: ALMACENAMIENTO
RÁPIDO Y SEGURO PARA
FOTOS, VIDEOS Y ARCHIVOS
EN DIVERSOS DISPOSITIVOS.",images/AD-TA04.jpg,16,1.0
AD-TA05,MEMORIA 32GB,ALDEEPO,20.0,"• CAPACIDAD: 32 GB.
• INCLUYE: ADAPTADOR SD
PARA COMPATIBILIDAD CON
DISPOSITIVOS DE TAMAÑO
ESTÁNDAR.
• USO: ALMACENAMIENTO
RÁPIDO Y SEGURO PARA
FOTOS, VIDEOS Y ARCHIVOS
EN DIVERSOS DISPOSITIVOS.",images/AD-TA05.jpg,17,1.0
AD-TA06,MEMORIA 64GB,ALDEEPO,40.0,"• CAPACIDAD: 64 GB.
• INCLUYE: ADAPTADOR SD
PARA COMPATIBILIDAD CON
DISPOSITIVOS DE TAMAÑO
ESTÁNDAR.
• USO: ALMACENAMIENTO
RÁPIDO Y SEGURO PARA
FOTOS, VIDEOS Y ARCHIVOS
EN DIVERSOS DISPOSITIVOS.",images/AD-TA06.jpg,18,1.0
ET-M4132,LECTOR DE MEMORIA,EWTTO,3.5,"• PRODUCTO: OTG
• MODELO: EWTTO
• TIPO:  C-USB
• USO:  LECTOR DE MEMORIA
• CARACTERISTÍCAS: DISEÑO
REFORZADO METALIZADO,
CADENA DE LLAVERO METAL
• PRODUCTO: LECTOR DE
MEMORIA,USB (OTG)
• PERMITE: A SMARTPHONES,
TABLETS LEER Y TRANSFERIR
ARCHIVOS DESDE MEMORIAS USB
O TARJETAS MICRO SD, SIN
NECESIDAD DE UNA
COMPUTADORA",images/ET-M4132.jpg,19,1.0
W-02,PAD MOUSE,,5.0,"• PAD MOUSE CON REPOSO DE GEL
AMORTIGUADOR.
• DISEÑADO PARA OFRECER UNA
SUPERFICIE SUAVE Y PRECISA CON
UNA BASE ANTIDESLIZANTE.",images/W-02.jpg,20,0.9
MP-002,PAD MOUSE HALION,,7.0,"• MATERIAL: ACCESORIO DE
LONA (TELA) DE COLOR
NEGRO
• DISEÑADO PARA OFRECER
UNA SUPERFICIE SUAVE Y
PRECISA CON UNA BASE
ANTIDESLIZANTE.
• DIMENSIONES: 320 X 270MM
CON UN GROSOR DE 2MM.",images/MP-002.jpg,21,0.9
BS-M7713,PAD MOUSE BOSSNEY,,12.0,"• MATERIAL: ACCESORIO DE
LONA (TELA) DE COLOR
NEGRO
• DISEÑADO PARA OFRECER
UNA SUPERFICIE SUAVE Y
PRECISA CON UNA BASE
ANTIDESLIZANTE.
• INFORMACION SOBRE LAS
TECLAS PARA APRENDER MAS
ATAJOS.",images/BS-M7713.jpg,22,0.9
MP-848,PAD MOUSE,,20.0,"• PAD MOUSE.
• CUENTA CON BASE DE GOMA
ANTIDESLIZANTE Y BORDES
COSIDOS PARA MAYOR
DURABILIDAD.
• ESTA HECHA DE TELA DE MALLA
FINA PARA UN SEGUIMIENTO DE
MOUSE SUAVE Y PRECISO.",images/MP-848.jpg,23,0.9
AD-M053,MOUSE,ALDEEPO,4.0,"• MOUSE CON CONEXIÓN USB
2.0
• RESOLUCION 800 DPI
• RUEDA DE DESPLAZAMIENTO
• LONGITUD DE CABLE: 1.5M",images/AD-M053.jpg,24,1.0
PC06,MOUSE SUPER,,6.0,"• MOUSE CON CABLE
• COLOR: NEGRO
• OPTICO",images/PC06.jpg,25,0.9
PC05,MOUSE SUPER,SUPER,7.0,"• MARCA: SUPER
• MOUSE OPTICO CON CABLE",images/PC05.jpg,26,1.0
M209K,MOUSE CYBERTEL,CYBERTEL,9.0,"• MARCA: CYBERTEL
• MODELO: M209K
• CONEXIÓN: ALÁMBRICO
USB
• CABLE EXTENSO: 1.50M
• SENSIBILIDAD:1000DPI
• CUENTA CON ILUMINACIÓN
LED.",images/M209K.jpg,27,1.0
DN-G630,MOUSE SUPER,SEISA,10.0,"• MARCA: SEISA
• MOUSE INALAMBRICO
• UTILIZA TECNOLOGIA
INALAMBRICA DE 2.4GHZ
MEDIANTE RECEPTOR NANO USB
INCLUIDO.
• OFRECE RESOLUCIONES
AJUSTABLES,COMUNMENTE DE
800 O 1600 DPI PARA MAYOR
PRECISION.
• FUNCIONA CON SISTEMAS
OPERATIVOS WINDOWS.",images/DN-G630.jpg,28,1.0
QS-103,MOUSE YILIMA,YILIMA,10.0,"• MARCA: YILIMA
• MODELO: QS-103
• CONEXIÓN: ALÁMBRICO
USB
• RESOLUCION HASTA
6000DPI.
• COMPATIBLE CON
WINDOWS, MACOS Y LINUX.",images/QS-103.jpg,29,1.0
PC07,MOUSE SUPER INALAMBRICO,MAGIC PRO,12.0,"• MOUSE RECARGABLE
• CONECTIVIDAD DUAL:
INALÁMBRICO DE 2.4 GHZ A TRAVÉS
DE UN NANO RECEPTOR USB
(INCLUIDO) Y BLUETOOTH.
• ILUMINACIÓN LED RGB: CUENTA
CON LUCES LED DE 7 U 8 COLORES
(RGB) QUE LE DAN UN ASPECTO
GAMER Y PERSONALIZABLE.
• INCLUYE CABLE TIPO C",images/PC07.jpg,30,1.0
AD-M170,MOUSE,ALDEEPO,13.0,"• MOUSE INALAMBRICO
RECARGABLE
• MARCA: ALDEEPO
• CONEXIÓN DUAL: RECEPTOR USB
DE 2.4HZ Y BLUETOOTH
• INCLUYE CABLE DE CARGA",images/AD-M170.jpg,31,1.0
W07,MOUSE AOAS,,13.0,"• TIPO: MOUSE  AOAS
• ALIMENTACIÓN: RECARGABLE
• CARACTERÍSTICAS: CON RUEDA DE
SCROLLING
• DPI: AJUSTABLE
• CONECTIVIDAD: USB
• INCLUYE:  CABLE C
• DISEÑO: MODERNO Y COMPACTO
• INCLUYE: RECEPTOR USB
• USO: WINDOWS, MAC OS,PARA
TRABAJO DE OFICINA",images/W07.png,32,0.9
TPM0050,MOUSE OPTICO RO,MAX,14.0,"• MOUSE OPTICO ROMAX DISEÑO SLIM
• CON RUEDA DE SCROLLING
• BATERIA RECARGABLE
• CABLE RECARGABLE TIPO C",images/TPM0050.jpg,33,1.0
RF-6800B,MOUSE WEIBO,,16.0,"• MOUSE OPTICO
• CON RUEDA DE SCROLLING
• BATERIA RECARGABLE
• CABLE RECARGABLE TIPO C",images/RF-6800B.jpg,34,0.9
TPM0056,MOUSE RO,MAX,16.0,"• MOUSE INALAMBRICO
RECARGABLE
• MARCA: ROMAX
• BATERIA:500 MAH
• DISTANCIA: 10 METROS
• CONEXIÓN DUAL: RECEPTOR USB
DE 2.4HZ Y BLUETOOTH
• INCLUYE CABLE DE CARGA",images/TPM0056.jpg,35,1.0
EKM308,MOUSE ENKORE,,16.0,"• MOUSE ENKORE
• ILUMINACION RGB 7
COLORES
• DPI GRADUABLE HASTA 7200
• BOTONES AVANCE Y
RETROCESO
• CABLE EXTENSO DE 1.50CM
• CABLE USB TEXTIL
• COMPATIBLE CON S.O ,
WINDOWS Y OTROS.",images/EKM308.jpg,36,0.9
BS-M7023,MOUSE BOSSNEY,BOSSNEY,18.0,"• MARCA: BOSSNEY
• MODELO: BS-M7023
• CONEXIÓN: INALÁMBRICO,
CON TECNOLOGÍA DE 2.4G Y
BLUETOOTH (BT), LO QUE
PERMITE CONECTIVIDAD
DUAL.
• RECARGABLE
• CUENTA CON ILUMINACIÓN
LED.",images/BS-M7023.jpg,37,1.0
M703-3M,MOUSE CYBERTEL,CYBERTEL,20.0,"• MARCA: CYBERTEL
• MODELO: M703-3M
• CONEXIÓN: INALÁMBRICO,
CON TECNOLOGÍA DE 2.4G Y
BLUETOOTH (BT)
• RECARGABLE
• CUENTA CON ILUMINACIÓN
LED.
• CABLE CARGADOR CON
ENTRADA TIPO C",images/M703-3M.jpg,38,1.0
EKM500,MOUSE ENKORE,,20.0,"• MOUSE ENKORE
• 3 MODOS: WI-FI,
BT,RECARGABLE
• MOUSE OPTICO GAMER DE 6
BOTONES
• ILUMINACION RGB
• NANO RECEPTOR USB
• ADAPTADOR TIPO C
• PUERTO DE CARGA TIPO C
• NIVEL DE DPI: 1600 DPI.
• CLICK SILENCIOSO
• COMPATIBLE CON S.O ,
WINDOWS Y OTROS.",images/EKM500.jpg,39,0.9
EMR213BK,MOUSE RECARGABLE ACER,ACER,27.0,"• MARCA: ACER
• TECNOLOGÍA: CONEXIÓN
INALÁMBRICA DUAL MEDIANTE
2.4G Y BLUETOOTH.
• SENSIBILIDAD: RESOLUCIÓN DE
HASTA 1600 DPI.
• COLOR: NEGRO.
• CARACTERÍSTICAS: INCLUYE UN
CABLE DE CARGA Y BOTONES
LATERALES PARA FUNCIONALIDAD
ADICIONAL.",images/EMR213BK.jpg,40,1.0
MS975WB,MOUSE GAMER USB HAVIT,HAVIT,70.0,"• MARCA: HAVIT
• CUENTA CON CONEXIÓN TRIPLE
QUE INCLUYE CABLEADO,
INALÁMBRICO DE 2.4GHZ Y
BLUETOOTH 5.1.
• SENSOR Y DPI: UTILIZA UN SENSOR
DE ALTA PRECISIÓN AJUSTABLE
HASTA 20,000 DPI.
• COMPATIBILIDAD: FUNCIONA CON
SISTEMAS OPERATIVOS WINDOWS,
MAC OS Y LINUX.",images/MS975WB.jpg,41,1.0
MY-7100,MINI TECLADO INALAMBRICO,BAIHUO,15.0,"• MODELO: MINI, PORTÁTIL
• CONECTIVIDAD: INALÁMBRICA
2.4G + RECEPTOR USB
• ALCANCE: HASTA 10 METROS
• COMPATIBILIDAD: PC, TV BOX,
LAPTOP
• CABLE DE CARGA",images/MY-7100.jpg,42,1.0
C120,CONTROL CON TECLADO,,20.0,"• AIR  MOUSE, CONTROL REMOTO
INALAMBRICO QUE COMBINA
FUNCIONES DE TECLADO
QWERTY Y GIROSCOPIO PARA
NAVEGAR EN SMART TVS Y
COMPUTADORAS.
• CONECTIVIDAD: INALÁMBRICA
2.4G , RECEPTOR USB
• COMPATIBLE CON DIVERSOS
SISTEMAS OPERATIVOS,INCLUIDO
ANDROID, WINDOWS, MAC OS Y
LINUX.",images/C120.jpg,43,0.9
K530,TECLADO CYBERTEL,,14.0,"• MODELO: EJECUTIVO
GENERICO.
• DISEÑO: CLÁSICO Y
ERGONÓMICO
• CONECTIVIDAD: USB
• COMPATIBILIDAD: PC Y
LAPTOP
• USO: OFICINA Y HOGAR",images/K530.jpg,44,0.9
AD-K51,TECLADO,ALDEEPO,18.0,"• MODELO: EJECUTIVO
ALAMBRICO.
• DISEÑO: CLÁSICO Y
ERGONÓMICO
• CONECTIVIDAD: USB
• COMPATIBILIDAD: PC Y
LAPTOP
• USO: OFICINA Y HOGAR",images/AD-K51.jpg,45,1.0
EAK040-SP,KIT TECLADO Y MOUSE,,28.0,"• CONECTIVIDAD: AMBOS
DISPOSITIVOS SE CONECTAN
MEDIANTE CABLE USB DE
1.5 METROS DE LONGITUD.
• MOUSE: CUENTA CON 3
BOTONES Y UNA
RESOLUCIÓN DE 1200 DPI.
• TECLADO: ES UN TECLADO
ESTÁNDAR CON 105 TECLAS
EN ESPAÑOL.",images/EAK040-SP.jpg,46,0.9
DN-H038,TECLADO Y MOUSE SEISA,,30.0,"• TECLADO Y MOUSE INALAMBRICO
• BATERIA TERNARIA DE IONES DE
LITIO DE 150 MAH
• TAMAÑO DEL TECLADO:
247.5X150X6.4MM
• COMPATIBLE CON
WINDOWS,ANDROID,TABLETAS
IOS,TELEFONOS
MOVILES,ORDENADORES Y
TELEVISORES CON BLUETOOTH.",images/DN-H038.jpg,47,0.9
HA-K433C,TECLADO+MOUSE HALION,,30.0,• TECLADO + MOUSE,images/HA-K433C.jpg,48,0.9
A2000,TECLADO + MOUSE,,25.0,"• MODELO: INALAMBRICO
• DISEÑO: CLÁSICO Y
ERGONÓMICO
• CABLE CARGADOR
• CONECTIVIDAD: USB
• COMPATIBILIDAD: PC Y
LAPTOP
• USO: OFICINA Y HOGAR",images/A2000.jpg,49,0.9
AD-KW52,"TECLADO 
INALAMBRICO",ALDEEPO,28.0,"• TECLADO Y MOUSE
INALAMBRICO
• CONEXIÓN DE 2.4GHZ
• DISEÑO: ERGONOMICO
E IMPERMEABLE",images/AD-KW52.jpg,50,1.0
WT801,TECLADO Y MOUSE,,35.0,"• TECLADO Y MOUSE INALAMBRICO
• TECLADO CUENTA CON DISEÑO
MULTIMEDIA COMPACTO DE 78 TECLAS
TIPO CHOCOLATE UV ANTIBORRADO.
• CUENTA CON COBERTO DE SILICONA
PARA PROTECCION Y TIENE UN
SISTEMA WATERPROOF PARA EVITAR
DAÑOS POR LIQUIDOS
• MOUSE INALAMBRICO DE 2.4GHZ Y
SENSIBILIDAD DE 1000DPI
• AMBOS TIENEN SISTEMA OPERATIVOS
WINDOWS,LINUX Y OTROS",images/WT801.jpg,51,0.9
KM201,TECLADO HALION,,50.0,"• MODELO: EJECUTIVO,
CABLEADO
• DISEÑO: CLÁSICO Y
ERGONÓMICO
• LUCES RGB
• CONECTIVIDAD: USB
• COMPATIBILIDAD: PC Y
LAPTOP
• USO: OFICINA Y HOGAR",images/KM201.jpg,52,0.9
KM202,TECLADO HALION,,55.0,"• MODELO: EJECUTIVO,
CABLEADO
• DISEÑO: CLÁSICO Y
ERGONÓMICO
• LUCES RGB
• LONGITUD: 1.6M
• CONECTIVIDAD: USB
• COMPATIBILIDAD: PC Y LAPTOP
• USO: OFICINA Y HOGAR",images/KM202.jpg,53,0.9
G1000-4,"TECLADO, MOUSE Y AUDIFONOS GAMER",,68.0,"• TECLADO , MOUSE Y
AUDIFONOS CON CABLE
• MODELO GAMER
• CON LUCES RGB
• MOUSE DPI GRADUABLE
HASTA 3600.
• TECLADO CON TECLAS
ELEVADAS
• DIADEMA ACOLCHADA
AJUSTABLE
• COMPATIBLE CON S.O.
WINDOWS Y OTROS",images/G1000-4.jpg,54,0.9
PC19,"PARLANTE  DE 
COMPUTO SUPER",,30.0,"• MODELO: SUPER, GENÉRICO
• TIPO: ESTÉREO, USB
• POTENCIA: 6W (3W POR CANAL)
• CONECTIVIDAD: USB 2.0 Y 3.5MM
PARA AUDIO
• COMPATIBILIDAD: PCS, LAPTOPS,
CONSOLAS Y OTROS
DISPOSITIVOS CON SALIDA DE
AUDIO DE 3.5MM
• DISEÑO COMPACTO, SONIDO
CLARO Y POTENTE PARA USO
PERSONAL",images/PC19.jpg,55,0.9
HA-S270,"PARLANTE  DE 
COMPUTO HALION",,35.0,"• MODELO: HALION
• POTENCIA: 5W *2
• ALTAVOZ : 66MM*2
• LONGITUD: 1.2M
• ALIMENTACION POR CONECTOR
USB
• SALIDA AUXILIAR 3.5MM PARA
AURICULAR.
• COMPATIBLE CON : PC, LAPTOP,TV
Y OTROS DISPOSITIVOS DE
AUDIO.",images/HA-S270.jpg,56,0.9
S257,PARLANTE HALION,,38.0,"• MODELO: SONIDO ESTÉREO
2.0 DISEÑADO PARA PC Y
LAPTOPS
• CUENTAN CON
ILUMINACIÓN LED RGB.
• TIENEN UNA POTENCIA DE
5W.
• CONECTOR JACK DE AUDIO
DE 3,5 MM Y UN CONECTOR
USB",images/S257.jpg,57,0.9
T-50,AURICULAR PARA PC HALION,,16.0,"•
PRODUCTO: AUDÍFONO
HEADSETS
• MODELO: VINCHA
• LONGITUD DE CABLE: 2.2MT
• CARCATERÍSTICAS: INCLUYE UN
MICRÓFONO EXTERNO PARA
TRANSMITIR LA VOZ.
• USO: : AURICULARES
OFFICE,JUEGOS
• COLORES: AMARILLO, ROJO Y
AZUL",images/T-50.jpg,58,0.9
,FUXI H5D AUDIFONO GAMER HAVIT,,50.0,"• CONECTIVIDAD: UTILIZAN UN
CONECTOR DE 3.5MM COMPATIBLE
CON MÚLTIPLES DISPOSITIVOS.
• AUDIO: CUENTAN CON UNIDADES
DINÁMICAS DE 50MM PARA UN
SONIDO ENVOLVENTE.
• MICRÓFONO: INCORPORAN UN
MICRÓFONO OMNIDIRECCIONAL
AJUSTABLE.
• COMODIDAD: DISEÑADOS CON
ALMOHADILLAS DE MALLA
TRANSPIRABLE",images/page_059_product_001.jpg,59,0.75
N08,COOLER PARA CELULAR,,22.0,"• PRODUCTO: COOLER PARA CELULAR
• UTILIZA TECNOLOGIA DE
SEMICONDUCTOREES PARA REDUCIR
RAPIDAMENTE LA TEMPERATURA DE
TU TELEFONO, EVITANDO EL
SOBRECALIENTAMIENTO DURANTE
JUEGOS INTENSOS O TRANSMISIONES
EN VIVIO.",images/N08.jpg,60,0.9
HA-73,COOLER DE LAPTOP,,30.0,"• PRODUCTO: COOLER PARA LAPTOP
• INCLUYE: 2 VENTILADORES DE 14 CM
• CONEXIÓN: USB
• MATERIAL : PLÁSTICO LIGERO CON
MALLA METÁLICA
• SOPORTA LAPTOPS : 9″ HASTA 17″
• CARACTERISTÍVCAS: LUZ LED, CON
NIVELES DE POSICIÓN, MATERIAL DE
PLÁSTICO Y METAL, 2 PUERTOS USB,
CABLE DE ALIMENTACIÓN USB 5VDC,
MARCA CYBERCOOL.
• DIMENSIONES : 37 X 26.5 X 8.3 CM
• COLOR: NEGRO",images/HA-73.jpg,61,0.9
N99,COOLER DE LAPTOP,,30.0,"• PRODUCTO: COOLER PARA LAPTOP
• INCLUYE: 2 VENTILADOR GRANDE
ILUMINADO PARA DISIPAR EL CALOR
• CONEXIÓN: USB DIRECTA AL EQUIPO Y
CUENTA CON PUERTOS USB
ADICIONALES
• SOPORTE AJUSTABLE PERMITIENDO
DIFERENTES NIVELES DE INCLINACION
PARA MAYOR COMODIDAD
• CABLE USB",images/N99.jpg,62,0.9
N33,COOLER PARA LAPTOP,,30.0,"•
ILUMINACIÓN: CUENTA CON MODOS DE
LUZ RGB PARA PERSONALIZAR EL ESTILO.
•
ENFRIAMIENTO: INCORPORA DOS
VENTILADORES PARA REDUCIR LA
TEMPERATURA DEL EQUIPO Y MEJORAR
SU RENDIMIENTO.
•
ERGONOMÍA: OFRECE AJUSTE DE
ALTURA PARA MEJORAR LA POSTURA AL
USAR LA LAPTOP.
•
CONECTIVIDAD: SE CONECTA Y
ALIMENTA MEDIANTE PUERTOS USB.
•
CUENTA CON SOPORTE PARA COLOCAR
EL CELULAR.",images/N33.jpg,63,0.9
MY-7521,HOLDER PARA LAPTOP,BAIHUO,15.0,"•
PRODUCTO: SOPORTE
•
MARCA: BAIHUO
•
MATERIAL:ABS,METAL
•
CARACTERISTÍCAS:INCLINABLE
•
AJUSTABLE
•
CON UNA FUNDA PARA GUARDADO FACIL
•
COLOR: GRIS",images/MY-7521.jpg,64,1.0
SZ12283,SOPORTE PARA LAPTOP,,40.0,"• SOPORTE PARA LAPTOP
METÁLICO
• GIRO 360°
• DOBLE VENTILADOR
• CONTENIDO: CABLE DE PODER Y
LLAVE DE AJUSTE",images/SZ12283.jpg,65,0.9
BS-E6804,SOPORTE,BOSSNEY,75.0,"•
PRODUCTO: SOPORTE
•
MARCA: BOSSNEY
•
USO:  MAC OS,PC/NOTEBOOK
•
MATERIAL:ABS,METAL
•
DIMESIONES: ALTO 16CM Y
LARGO 23CM
•
CARACTERISTÍCAS:INCLINABLE
•
INCLUYE:
1 × SOPORTE
2 X  VENTILADORES RGB
1 × CABLE TIPO C (PARA
ALIMENTACIÓN O CONTROL)
1 × ADAPTADOR OTG TIPO C A
USB
1 × LLAVE HEXAGONAL (PARA A
•
EQUIPO: 15.9”
•
COLOR: GRIS",images/BS-E6804.jpg,66,1.0
MULTI-35,ENCHUFE,,12.0,"•
CAPACIDAD: 2000W
•
4 TOMAS DE CORRIENTE
•
2 PUERTOS USB
•
2 PUERTOS TIPO C
•
CABLE CON 1 METRO DE
LONGITUD
•
PROTECCIÓN: CONTRA
SOBRETENSIONES
•
APLICACIÓN: MULTIPROPÓSITO",images/MULTI-35.jpg,67,0.9
MULTI-36,ENCHUFE,,14.0,"•
CAPACIDAD: 2000W
•
8 TOMAS DE CORRIENTE
•
2 PUERTOS USB
•
3 PUERTOS TIPO C
•
CABLE CON 1 METRO DE
LONGITUD
•
PROTECCIÓN: CONTRA
SOBRETENSIONES
•
APLICACIÓN: MULTIPROPÓSITO",images/MULTI-36.jpg,68,0.9
,GK 918 EXTENSION 10142,,15.0,"• 4 PUERTOS
• ADAPTABLE A ENCHUFES
ESTANDAR DE OTROS PAISES
• INTTERRUPTOR Y LUZ
INDICADORA",images/page_069_product_001.jpg,69,0.75
J14U,EXTENSION POWER SOCKET,,18.0,"•
CAPACIDAD: 2500W
•
4 TOMAS DE CORRIENTE
•
2 PUERTOS USB
•
2 PUERTOS TIPO C
•
POTENCIA:2.1A
•
CABLE CON 1 METRO DE
LONGITUD
•
PROTECCIÓN: CONTRA
SOBRETENSIONES
•
APLICACIÓN: MULTIPROPÓSITO",images/J14U.jpg,70,0.9
FP11569,EXTENSION CON ENCHUFE,,20.0,"•
CAPACIDAD: 2500W
•
6 TOMAS DE CORRIENTE
•
5 PUERTOS USB
•
1 PUERTOS TIPO C
•
CABLE CON 1 METRO DE LONGITUD
•
INCLUYE UN INTERRUPTOR DE
ENCENDIDO/APAGADO CENTRAL Y
FUNCIONES DE PROTECCION
CONTRA SOBRETENSIONES Y
SOBRECARGAS PARA MAYOR
SEGURIDAD.",images/FP11569.jpg,71,0.9
TCD0978,ADAPTADOR USB,,3.5,"• ADAPTADOR CON
ENTRADA TIPO C
• SALIDA USB
• TRANSMISION RAPIDA",images/TCD0978.jpg,72,0.9
BLS-BT01,ADAPTADOR BLUETOOH,,6.5,"• CON ENTRADA USB Y
SALIDA AUX 3.5MM.
• 2EN1",images/BLS-BT01.jpg,73,0.9
CQT-H010,EXTENSION,,7.0,"• CUENTA CON 4 PUERTOS USB
2.0 QUE OFRECEN VELOCIDADES
DE TRANSFERENCIA DE DATOS
DDE HASTA 480 MBPS.
• INCLUYE INTERRUPTORES
INDIVIDUALES PARA CADA
PUERTO Y LUCES LED
INDICADORAS DE
FUNCIONAMIENTOS.
• CUENTA CON CABLE DE
APROXIMADAMENTE 55CM DE
LARGO.",images/CQT-H010.jpg,74,0.9
CQT-H072,EXTENSION  SEISA,,10.0,"• CUENTA CON 7 PUERTOS USB
2.0 QUE OFRECEN VELOCIDADES
DE TRANSFERENCIA DE DATOS
DDE HASTA 480 MBPS.
• INCLUYE INTERRUPTORES
INDIVIDUALES PARA CADA
PUERTO Y LUCES LED
INDICADORAS DE
FUNCIONAMIENTOS.
• CUENTA CON CABLE DE
APROXIMADAMENTE 55CM DE
LARGO.",images/CQT-H072.jpg,75,0.9
MULTI-25,EXTENSION,,12.0,"• MULTICARGADOR DE
ESCRITORIO
• CARGA RAPIDA (PD30W)
• CUENTA CON 4 PUERTOS DE
CARGA, (2 PUERTOS USB-A Y 2
PUERTOS USB-C)",images/MULTI-25.jpg,76,0.9
J02U,TORRE DE EXTENSION,,20.0,"•
PRODUCTO: ESTABILIZADOR
•
MODELO: J02U
•
CAPACIDAD DE 110V-250V.
•
CUENTA CON 2 PUERTOS USB Y 2
PUERTOS TIPO C
•
CORRIENTE MAXIMA : 10A
•
PROTECCIÓN: CONTRA
SOBRETENSIONES
•
APLICACIÓN: MULTIPROPÓSITO",images/J02U.jpg,77,0.9
J09U,TORRE DE EXTENSION,,25.0,"•
EXTENSION ELECTRICA
•
MODELO: J09U
•
CAPACIDAD DE 110V-250V.
•
CUENTA CON 8 TOMACORRIENTES
UNIVERSALES ,CON 2 PUERTOS
USB Y 2 PUERTOS TIPO C
•
CORRIENTE MAXIMA : 10A
•
PROTECCIÓN: CONTRA
SOBRETENSIONES
•
APLICACIÓN: MULTIPROPÓSITO",images/J09U.jpg,78,0.9
